,Course Name,University,Location,Cost,Cost per,Duration,Extra
0,Mobile Computing Systems, EURECOM - Graduate school and Research center in Digital Science ," Sophia Antipolis, France ",6000 EUR,year,2 years,M.Sc. Full-time
1,International Business, University of Canberra ," Canberra, Australian Capital Territory, Australia ",22271 EUR,year,2 years,Full-time
2,Computer Vision, School of Artificial Intelligence , Online ,840 EUR,full,3 months,Pre-Master Part-time
3,Business Information Systems, Colorado State University ," Fort Collins, Colorado, United States ",716 EUR,credit, ,Full-time Part-time Online
4,Business Intelligence and Analytics, GISMA Business School - The University of Law ," Berlin, Germany ",16000 EUR,year,1 year,M.Sc. Full-time
5,Computer Engineering, Drexel University College of Engineering ," Philadelphia, Pennsylvania, United States ",1108 EUR,credit,2 years,M.Sc. Full-time
6,Information Technology (with specialisations), Charles Sturt Online , Online ,15852 EUR,year,2 years,M.A. Full-time Part-time
7,Computer Science, London School of Business and Finance Singapore ," London, England, United Kingdom ",11700 EUR,year,1 year,M.Sc. Full-time Part-time Online
8,Information Technology (Cloud Computing), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
9,Analytics," Kogod School of Business, American University Washington DC "," Washington, D. C., Washington, D.C., United States ",1496 EUR,credit,1 year,M.Sc. Full-time Part-time
10,Mobile Computing Systems, EURECOM - Graduate school and Research center in Digital Science ," Sophia Antipolis, France ",6000 EUR,year,2 years,M.Sc. Full-time
11,International Business, University of Canberra ," Canberra, Australian Capital Territory, Australia ",22271 EUR,year,2 years,Full-time
12,Computer Vision, School of Artificial Intelligence , Online ,840 EUR,full,3 months,Pre-Master Part-time
13,Business Information Systems, Colorado State University ," Fort Collins, Colorado, United States ",716 EUR,credit, ,Full-time Part-time Online
14,Business Intelligence and Analytics, GISMA Business School - The University of Law ," Berlin, Germany ",16000 EUR,year,1 year,M.Sc. Full-time
15,Computer Engineering, Drexel University College of Engineering ," Philadelphia, Pennsylvania, United States ",1108 EUR,credit,2 years,M.Sc. Full-time
16,Information Technology (with specialisations), Charles Sturt Online , Online ,15852 EUR,year,2 years,M.A. Full-time Part-time
17,Computer Science, London School of Business and Finance Singapore ," London, England, United Kingdom ",11700 EUR,year,1 year,M.Sc. Full-time Part-time Online
18,Information Technology (Cloud Computing), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
19,Analytics," Kogod School of Business, American University Washington DC "," Washington, D. C., Washington, D.C., United States ",1496 EUR,credit,1 year,M.Sc. Full-time Part-time
20,Artificial Intelligence, University of Leeds Online , Online ,,,8 months,Postgraduate Certificate Part-time
21,Green Tech & Sustainable Societies, Burgundy School of Business ," Lyon, France ",14000 EUR,year,1 year,M.Sc. Full-time
22,Architecture and Engineering for the Internet of Things, IMT Atlantique - Graduate Engineering School ," Brest, France ",5100 EUR,year,2 years,M.Sc. Full-time
23,Business Analytics online, University of Bath Online , Online ,,,"2 years, 3 months",M.Sc. Full-time
