hash_,rating,position,name,club,league,country,skillboost
0,110,ST,Suárez,"Atlético de Madrid","Spain Primera División",Uruguay,ATTACKING
1,110,ST,Werner,Chelsea,"England Premier League",Germany,SECONDSTRIKER
2,110,RW,Rodríguez,Everton,"England Premier League",Colombia,ATTACKING
3,110,ST,Morata,"Piemonte Calcio","Italy Serie A",Spain,ATTACKING
4,110,ST,Osimhen,Napoli,"Italy Serie A",Nigeria,LONGSHOTS
5,110,LW,"Diogo Jota",Liverpool,"England Premier League",Portugal,SECONDSTRIKER
6,110,ST,Schick,"Bayer 04 Leverkusen","Germany 1. Bundesliga","Czech Republic",DRIBBLING
7,110,ST,David,"LOSC Lille","France Ligue 1",Canada,LONGSHOTS
8,110,ST,Sørloth,"RB Leipzig","Germany 1. Bundesliga",Norway,SHOTPOWER
9,110,ST,"F. Trincão","FC Barcelona","Spain Primera División",Portugal,LONGSHOTS
10,110,ST,Rodrigo,"Leeds United","England Championship",Spain,SECONDSTRIKER
11,110,CAM,"David Silva","Real Sociedad","Spain Primera División",Spain,SHOOTING
12,110,CM,Parejo,"Villarreal CF","Spain Primera División",Spain,CAPTAIN
13,110,LM,Sané,"Bayern München","Germany 1. Bundesliga",Germany,ATTACKING
14,110,CM,Rakitić,"Sevilla FC","Spain Primera División",Croatia,CAPTAIN
15,110,CDM,Allan,Everton,"England Premier League",Brazil,DEFENDING
16,110,CAM,Havertz,Chelsea,"England Premier League",Germany,SECONDSTRIKER
17,110,CM,Arthur,"Piemonte Calcio","Italy Serie A",Brazil,CAPTAIN
18,110,CAM,Banega,"Al Shabab","Saudi Pro League",Argentina,LONGSHOTS
19,110,RM,Meunier,"Borussia Dortmund","Germany 1. Bundesliga",Belgium,SHOTPOWER
20,110,RM,"Ferrán Torres","Manchester City","England Premier League",Spain,LONGSHOTS
21,110,CB,Godín,Cagliari,"Italy Serie A",Uruguay,HOLDING
22,110,GK,Areola,Fulham,"England Championship",France,NUMBER1
23,110,CB,Gabriel,Arsenal,"England Premier League",Brazil,MARKING
24,110,RB,Doherty,"Tottenham Hotspur","England Premier League","Republic of Ireland",MARKING
